,Scholl,Free education,Age,Class,District,Sex,Direction of education
87,1,1,17,11,3,female,Socio-pedagogical
88,2,1,18,8,3,male,Sports
89,1,1,17,11,4,male,Socio-pedagogical
90,1,1,17,8,7,male,Technical
91,1,1,17,8,7,male,Technical
92,2,1,17,11,3,female,Sports
93,1,1,17,11,1,female,Artistic
94,2,1,17,8,13,female,Sports
95,1,1,17,11,1,female,Artistic
96,1,1,17,8,8,female,Technical
97,1,1,17,11,5,female,Artistic
98,1,1,17,11,1,male,Sports
99,1,1,17,11,15,male,Natural science
100,1,1,17,11,1,female,Natural science
101,1,1,18,10,1,female,Natural science
102,1,1,17,11,9,female,Socio-pedagogical
103,1,1,17,11,11,male,Natural science
104,1,1,17,11,8,female,Socio-pedagogical
105,1,1,17,11,3,female,Socio-pedagogical
106,1,1,17,11,6,female,Socio-pedagogical
107,1,1,17,8,8,male,Artistic
108,1,1,17,8,8,male,Artistic
109,1,1,17,11,13,female,Sports
110,1,1,16,11,3,female,Artistic
111,1,1,16,11,3,female,Artistic
112,1,1,17,11,8,male,Natural science
113,1,1,17,11,1,male,Socio-pedagogical
114,1,1,17,11,1,female,Socio-pedagogical
115,1,1,17,10,7,male,Natural science
116,1,1,17,11,1,male,Technical
117,1,1,17,11,12,female,Tourism
118,1,1,17,11,8,male,Technical
119,1,1,17,11,8,male,Technical
120,1,1,17,11,12,male,Natural science
121,1,1,17,11,12,male,Natural science
122,1,1,17,11,3,male,Natural science
123,1,1,17,11,3,male,Natural science
124,1,1,17,10,8,female,Sports
125,1,1,17,11,6,female,Socio-pedagogical
126,1,1,17,11,6,female,Socio-pedagogical
127,1,1,17,11,4,female,Socio-pedagogical
128,1,1,17,8,4,female,Sports
129,1,1,17,11,5,male,Sports
130,1,1,17,11,10,male,Natural science
131,1,1,17,11,7,male,Socio-pedagogical
132,1,1,17,11,7,male,Socio-pedagogical
133,1,1,17,11,4,female,Socio-pedagogical
134,1,1,17,11,4,female,Socio-pedagogical
135,1,1,17,11,12,female,Socio-pedagogical
136,1,1,17,11,12,female,Socio-pedagogical
137,2,1,17,8,16,male,Technical
138,1,1,17,11,6,female,Artistic
139,1,1,17,11,2,female,Natural science
140,1,1,17,11,10,female,Artistic
141,1,1,17,11,14,female,Socio-pedagogical
142,1,1,17,11,14,male,Technical
143,1,1,17,11,14,male,Technical
144,1,1,17,11,14,male,Socio-pedagogical
145,1,1,17,8,2,female,Tourism
146,1,1,17,11,17,female,Natural science
147,1,1,17,11,3,male,Socio-pedagogical
148,1,1,17,11,13,female,Socio-pedagogical
149,1,1,17,11,3,male,Natural science
150,1,1,17,11,9,female,Technical
151,1,1,17,11,1,male,Sports
152,1,1,17,11,6,male,Sports
153,1,1,17,11,6,male,Sports
154,1,1,17,11,3,male,Socio-pedagogical
155,1,1,17,11,6,male,Sports
156,2,1,17,8,6,female,Sports
157,1,1,17,11,11,male,Socio-pedagogical
158,1,1,17,11,15,female,Natural science
159,1,1,17,11,10,male,Socio-pedagogical
160,1,1,17,11,11,male,Socio-pedagogical
161,1,1,17,11,14,male,Socio-pedagogical
162,1,1,17,11,2,female,Artistic
163,1,1,17,11,6,male,Socio-pedagogical
164,1,1,17,11,2,male,Socio-pedagogical
165,1,1,17,11,5,female,Socio-pedagogical
166,1,1,17,11,4,female,Artistic
167,1,1,17,11,14,male,Socio-pedagogical
168,1,1,17,11,1,male,Socio-pedagogical
169,1,1,17,11,5,male,Sports
170,1,1,17,11,7,male,Socio-pedagogical
171,1,1,17,11,7,male,Socio-pedagogical
172,1,1,17,11,9,male,Sports
173,1,1,17,11,4,male,Socio-pedagogical
174,1,1,17,11,1,male,Socio-pedagogical
175,2,1,17,11,8,male,Natural science
176,1,1,16,11,17,female,Socio-pedagogical
177,1,1,17,11,6,male,Sports
178,1,1,17,11,12,male,Technical
179,1,1,17,11,2,male,Natural science
180,1,1,17,11,12,male,Socio-pedagogical
181,1,1,17,11,2,male,Socio-pedagogical
182,1,1,17,11,6,male,Sports
183,1,1,17,11,14,female,Sports
184,1,1,17,11,6,male,Sports
185,1,1,17,11,14,female,Sports
186,1,1,17,11,4,male,Artistic
187,1,1,17,10,6,female,Sports
188,1,1,17,11,1,female,Natural science
189,1,1,17,11,2,male,Socio-pedagogical
190,1,1,17,11,2,male,Socio-pedagogical
191,1,1,17,11,13,male,Natural science
192,1,1,17,11,14,male,Natural science
193,1,0,17,10,14,male,Natural science
194,1,1,17,11,1,female,Socio-pedagogical
195,2,1,17,8,10,female,Sports
196,1,1,17,11,1,female,Tourism
197,1,1,17,11,1,female,Tourism
198,1,1,17,8,7,female,Artistic
199,1,1,17,8,8,female,Artistic
200,1,1,17,8,8,female,Artistic
201,1,1,17,11,12,male,Natural science
202,1,1,17,11,3,female,Sports
203,1,1,17,10,4,male,Sports
204,1,1,17,11,4,male,Technical
205,1,1,17,11,7,male,Socio-pedagogical
206,1,1,17,11,7,male,Technical
207,1,1,17,11,11,female,Artistic
208,1,1,17,11,11,female,Artistic
209,1,1,17,11,12,female,Artistic
210,1,1,17,11,12,female,Artistic
211,1,1,17,11,6,female,Socio-pedagogical
212,1,1,16,11,8,male,Socio-pedagogical
213,1,1,17,11,6,female,Socio-pedagogical
214,1,1,17,11,8,female,Socio-pedagogical
215,1,1,17,11,8,female,Socio-pedagogical
216,1,1,17,11,7,female,Technical
217,1,1,17,11,10,female,Artistic
218,1,1,17,11,10,male,Sports
219,1,1,17,11,6,male,Sports
220,1,1,17,11,8,female,Sports
221,1,1,17,10,10,female,Sports
222,1,1,17,11,4,female,Natural science
223,1,1,17,11,4,female,Natural science
224,1,1,17,11,6,female,Socio-pedagogical
225,1,1,17,11,11,female,Socio-pedagogical
226,1,1,17,11,11,female,Tourism
227,1,1,17,11,6,male,Sports
228,1,1,16,10,2,male,Natural science
229,1,1,17,11,6,female,Sports
230,1,1,17,11,17,female,Artistic
231,1,1,17,11,11,female,Sports
232,1,1,17,11,5,female,Sports
233,1,1,17,11,17,female,Artistic
234,1,1,17,11,17,female,Natural science
235,1,1,17,11,11,female,Sports
236,1,1,16,11,8,female,Socio-pedagogical
237,1,1,17,11,4,male,Sports
238,1,1,17,10,6,male,Sports
239,1,1,17,11,10,male,Socio-pedagogical
240,1,1,17,11,12,male,Technical
241,1,1,17,11,12,male,Technical
242,1,1,17,11,12,male,Socio-pedagogical
243,1,1,17,8,10,female,Technical
244,1,1,17,11,6,male,Sports
245,1,1,17,11,1,male,Sports
246,1,1,17,11,6,female,Artistic
247,1,1,17,11,3,female,Socio-pedagogical
248,1,1,17,11,1,female,Socio-pedagogical
249,1,1,17,11,2,male,Socio-pedagogical
250,1,1,17,11,2,female,Socio-pedagogical
251,1,1,17,11,6,male,Sports
252,1,1,17,11,6,male,Socio-pedagogical
253,1,1,17,11,6,male,Socio-pedagogical
254,1,1,17,11,10,male,Socio-pedagogical
255,1,1,17,11,4,female,Artistic
256,1,1,17,11,4,female,Artistic
257,1,1,17,11,13,female,Socio-pedagogical
258,1,1,17,11,6,female,Socio-pedagogical
259,1,1,17,10,8,female,Socio-pedagogical
260,1,1,17,11,1,male,Natural science
261,1,1,17,11,14,female,Socio-pedagogical
262,1,1,17,11,1,male,Natural science
263,1,1,17,11,14,female,Socio-pedagogical
264,1,1,17,11,14,female,Socio-pedagogical
265,1,1,16,11,9,female,Socio-pedagogical
266,1,1,17,11,2,male,Socio-pedagogical
267,1,1,17,11,1,female,Socio-pedagogical
268,1,1,17,11,6,female,Artistic
269,1,1,17,11,6,female,Artistic
270,1,1,17,11,9,female,Socio-pedagogical
271,1,1,17,11,4,female,Artistic
272,1,1,17,8,3,male,Technical
273,1,1,17,11,6,male,Sports
274,1,1,17,11,11,female,Sports
275,1,1,17,11,2,female,Sports
276,1,1,17,11,2,female,Natural science
277,1,1,17,11,3,female,Socio-pedagogical
278,1,1,17,11,3,female,Technical
279,1,1,17,11,3,female,Sports
280,1,1,17,11,1,female,Natural science
281,1,1,17,11,1,female,Natural science
282,1,1,17,10,1,female,Tourism
283,1,1,16,9,7,male,Artistic
284,1,1,16,9,7,male,Artistic
285,1,1,17,11,1,female,Natural science
286,1,1,17,11,1,female,Natural science
287,2,1,17,8,14,male,Sports
288,1,1,17,11,6,female,Artistic
289,1,1,17,11,3,male,Sports
290,1,0,17,11,2,male,Natural science
291,1,1,17,11,13,male,Socio-pedagogical
292,1,1,17,11,13,male,Socio-pedagogical
293,1,1,17,11,10,female,Socio-pedagogical
294,1,1,16,11,1,male,Artistic
295,1,1,17,11,3,male,Socio-pedagogical
296,1,1,16,11,1,male,Artistic
297,1,1,17,11,10,female,Socio-pedagogical
298,1,1,17,11,3,male,Socio-pedagogical
299,1,1,17,11,3,male,Socio-pedagogical
300,1,1,17,11,14,female,Natural science
301,1,1,17,11,2,male,Technical
302,1,1,17,11,9,female,Natural science
303,1,1,17,11,13,female,Socio-pedagogical
304,1,1,17,11,15,female,Artistic
305,1,1,17,11,15,female,Artistic
306,1,1,17,11,15,female,Artistic
307,1,1,17,11,6,female,Natural science
308,1,1,17,11,2,female,Artistic
309,1,1,17,11,2,female,Artistic
310,1,1,14,8,11,female,Artistic
311,1,1,17,11,6,female,Natural science
312,1,1,17,11,6,female,Natural science
313,1,1,17,11,2,male,Natural science
314,1,1,17,11,2,male,Socio-pedagogical
315,1,1,17,11,11,male,Sports
316,1,1,17,11,6,male,Socio-pedagogical
317,1,1,17,11,8,male,Technical
318,1,1,17,8,10,male,Artistic
319,1,1,17,8,10,male,Artistic
320,1,1,17,11,11,male,Artistic
321,1,1,17,11,11,male,Artistic
322,1,1,17,8,9,male,Artistic
323,1,1,17,8,9,male,Artistic
324,1,1,17,11,11,female,Natural science
325,1,1,17,11,4,male,Natural science
326,1,1,17,11,4,male,Natural science
327,1,1,17,11,11,male,Technical
328,1,1,17,10,3,male,Socio-pedagogical
329,1,1,17,11,11,male,Technical
330,1,1,16,11,5,female,Artistic
331,1,1,17,11,13,female,Socio-pedagogical
332,1,1,17,11,10,female,Sports
333,1,1,17,11,10,female,Sports
334,1,1,17,11,10,female,Natural science
335,1,1,17,11,10,female,Natural science
336,1,1,16,11,10,female,Socio-pedagogical
337,1,1,17,11,5,female,Socio-pedagogical
338,1,1,17,8,5,female,Technical
339,1,1,17,11,6,female,Socio-pedagogical
340,1,1,17,11,6,female,Socio-pedagogical
341,1,1,17,11,10,male,Socio-pedagogical
342,1,1,17,11,10,male,Tourism
343,1,1,17,11,2,female,Natural science
344,1,1,17,10,3,female,Artistic
345,1,1,17,11,8,female,Artistic
346,1,1,17,11,8,female,Artistic
347,1,1,17,11,10,female,Socio-pedagogical
348,1,1,17,10,10,male,Sports
349,1,1,17,11,8,female,Natural science
350,1,1,17,11,8,female,Natural science
351,1,1,17,11,11,female,Socio-pedagogical
352,1,1,17,8,10,male,Sports
353,1,1,17,11,12,female,Sports
354,1,1,17,11,11,male,Technical
355,1,1,17,11,11,male,Technical
356,1,1,17,11,6,female,Socio-pedagogical
357,1,1,17,11,6,female,Socio-pedagogical
358,1,1,17,11,2,female,Socio-pedagogical
359,1,1,17,11,3,male,Artistic
360,1,1,17,11,3,male,Artistic
361,1,1,17,11,2,female,Natural science
362,1,1,17,11,6,male,Technical
363,1,1,17,11,10,male,Artistic
364,1,1,17,11,11,female,Natural science
365,1,1,17,11,10,male,Artistic
366,1,1,17,11,11,female,Natural science
367,1,1,17,11,11,female,Natural science
368,1,1,17,11,6,male,Artistic
369,1,1,17,11,3,male,Artistic
370,1,1,17,11,2,female,Artistic
371,1,1,17,11,10,female,Natural science
372,1,1,17,11,10,female,Natural science
373,1,1,17,11,2,female,Artistic
374,1,1,17,11,2,male,Sports
375,1,1,17,11,4,female,Natural science
376,1,1,17,11,11,male,Natural science
377,1,1,17,11,11,male,Natural science
378,1,1,17,11,3,female,Socio-pedagogical
379,1,1,17,11,3,female,Socio-pedagogical
380,1,1,17,11,6,female,Artistic
381,1,1,17,11,6,female,Artistic
382,1,1,17,11,4,female,Natural science
383,1,1,17,11,6,male,Technical
384,1,1,17,11,10,female,Socio-pedagogical
385,1,1,17,10,10,male,Sports
386,1,1,17,10,10,male,Artistic
387,1,1,16,11,6,female,Socio-pedagogical
388,1,1,17,11,16,male,Natural science
389,1,1,17,11,6,female,Natural science
390,1,1,17,11,3,male,Socio-pedagogical
391,1,1,17,11,3,male,Socio-pedagogical
392,1,1,17,11,11,female,Artistic
393,1,1,17,10,6,female,Sports
394,1,1,17,11,3,female,Technical
395,1,1,17,11,14,male,Socio-pedagogical
396,1,1,17,11,4,male,Socio-pedagogical
397,1,1,17,11,11,male,Technical
398,1,1,17,11,11,male,Technical
399,1,1,17,11,4,male,Natural science
400,1,1,17,11,4,male,Natural science
401,1,1,16,11,10,female,Socio-pedagogical
402,1,1,17,11,3,female,Artistic
403,1,1,17,11,3,female,Artistic
404,1,1,17,11,3,female,Natural science
405,1,1,17,11,3,female,Natural science
406,1,1,17,11,3,female,Natural science
407,1,1,17,11,7,male,Socio-pedagogical
408,1,1,17,11,2,female,Natural science
409,1,1,17,11,5,male,Socio-pedagogical
410,1,1,17,11,8,male,Tourism
411,1,1,17,11,7,female,Tourism
412,1,1,17,11,11,female,Artistic
413,1,1,16,10,11,female,Artistic
414,1,1,17,11,6,female,Socio-pedagogical
415,1,1,17,11,2,female,Socio-pedagogical
416,1,1,18,11,6,female,Natural science
417,1,1,17,11,3,female,Artistic
418,1,1,17,11,7,male,Sports
419,1,1,17,11,2,female,Sports
420,1,1,17,11,2,male,Sports
421,1,0,17,11,14,female,Natural science
422,1,1,17,11,9,female,Socio-pedagogical
423,1,1,17,11,13,female,Socio-pedagogical
424,1,1,17,11,2,male,Natural science
425,1,1,17,11,6,female,Artistic
426,1,1,17,11,6,female,Artistic
427,1,1,17,11,8,female,Socio-pedagogical
428,1,1,17,11,3,male,Socio-pedagogical
429,1,1,17,11,8,female,Socio-pedagogical
430,1,1,17,11,1,male,Artistic
431,1,1,17,11,1,male,Artistic
432,1,1,16,11,11,male,Technical
433,1,1,16,11,11,male,Technical
434,1,1,17,11,9,female,Socio-pedagogical
435,1,1,17,11,6,female,Socio-pedagogical
436,1,1,16,11,8,female,Socio-pedagogical
437,1,1,17,11,10,female,Artistic
438,1,1,17,11,1,male,Socio-pedagogical
439,1,1,17,11,1,male,Socio-pedagogical
440,1,1,17,11,10,female,Technical
441,1,1,17,11,2,female,Natural science
442,1,1,17,11,2,female,Natural science
443,1,1,17,11,2,female,Natural science
444,1,1,17,11,2,female,Socio-pedagogical
445,1,1,17,11,2,female,Natural science
446,1,1,17,11,2,male,Artistic
447,1,1,17,11,2,male,Artistic
448,1,1,17,11,6,male,Sports
449,1,1,17,10,15,female,Natural science
450,1,1,17,11,3,female,Sports
451,1,1,17,10,11,male,Technical
452,1,1,17,11,3,male,Tourism
453,1,1,17,11,3,female,Tourism
454,1,1,17,11,14,male,Technical
455,1,1,17,11,14,male,Technical
456,1,1,16,11,3,male,Socio-pedagogical
457,1,1,17,11,5,female,Artistic
458,1,1,17,11,5,female,Artistic
459,1,1,17,11,3,female,Socio-pedagogical
460,1,1,17,11,3,female,Natural science
461,1,1,17,11,5,female,Socio-pedagogical
462,1,1,17,11,11,female,Socio-pedagogical
463,1,1,17,11,4,female,Natural science
464,1,1,17,11,7,male,Socio-pedagogical
465,1,1,17,11,4,female,Socio-pedagogical
466,1,1,17,11,3,female,Socio-pedagogical
467,1,1,17,11,2,male,Sports
468,1,1,17,11,5,male,Socio-pedagogical
469,1,1,17,11,2,male,Artistic
470,1,1,17,11,2,female,Artistic
471,1,1,17,11,2,female,Artistic
472,1,1,17,11,2,male,Socio-pedagogical
473,1,1,17,8,6,female,Sports
474,1,1,17,8,6,female,Artistic
475,1,1,17,11,10,female,Socio-pedagogical
476,1,1,17,11,7,female,Socio-pedagogical
477,1,1,17,11,14,male,Natural science
478,1,1,17,11,4,female,Technical
479,1,1,17,11,2,female,Artistic
480,1,1,17,10,2,female,Artistic
481,1,1,17,10,2,female,Artistic
482,1,1,17,11,10,female,Socio-pedagogical
483,1,1,17,11,2,female,Natural science
484,1,1,17,11,8,female,Sports
485,1,1,17,11,11,male,Technical
486,1,1,17,11,3,male,Socio-pedagogical
487,1,1,17,11,3,male,Socio-pedagogical
488,1,1,17,11,3,female,Artistic
489,1,1,17,11,6,male,Socio-pedagogical
490,1,1,17,11,11,male,Socio-pedagogical
491,1,1,17,11,16,female,Artistic
492,1,1,17,11,7,female,Technical
493,1,1,17,11,2,female,Technical
494,1,1,17,11,16,female,Socio-pedagogical
495,1,1,17,11,6,female,Tourism
496,1,1,17,11,6,female,Tourism
497,1,1,17,11,6,female,Socio-pedagogical
498,1,1,17,11,14,male,Socio-pedagogical
499,1,1,17,11,12,female,Socio-pedagogical
500,1,1,17,11,1,female,Tourism
501,1,1,17,11,1,female,Tourism
502,1,1,17,11,1,male,Socio-pedagogical
503,1,1,17,11,3,male,Sports
504,1,1,17,11,2,female,Natural science
505,1,1,17,11,8,male,Socio-pedagogical
506,1,1,17,11,6,female,Natural science
507,1,1,17,11,5,female,Artistic
508,1,1,15,11,3,female,Socio-pedagogical
509,1,1,17,8,3,female,Socio-pedagogical
510,1,1,17,8,3,female,Socio-pedagogical
511,1,1,17,8,4,female,Artistic
512,1,1,17,8,4,female,Artistic
513,1,1,17,11,3,male,Socio-pedagogical
514,1,1,17,11,14,female,Socio-pedagogical
515,1,1,17,11,6,female,Socio-pedagogical
516,1,1,17,11,11,female,Sports
517,1,1,17,11,12,male,Socio-pedagogical
518,1,1,17,11,8,male,Artistic
519,1,1,17,11,13,female,Natural science
520,1,1,17,11,13,female,Natural science
521,1,1,16,11,2,female,Socio-pedagogical
522,1,1,17,8,10,female,Sports
523,1,1,17,11,12,male,Technical
524,1,1,17,11,12,male,Technical
525,1,1,17,11,13,female,Natural science
526,1,1,17,11,1,male,Socio-pedagogical
527,1,1,17,11,6,female,Socio-pedagogical
528,1,1,16,11,2,female,Socio-pedagogical
529,1,1,17,11,6,male,Sports
530,1,1,17,11,3,male,Socio-pedagogical
531,1,1,17,11,4,male,Socio-pedagogical
532,1,1,17,11,13,male,Socio-pedagogical
533,1,1,17,11,11,female,Socio-pedagogical
534,1,1,17,11,11,male,Socio-pedagogical
535,1,1,17,11,11,male,Socio-pedagogical
536,1,1,17,11,11,male,Socio-pedagogical
537,1,1,17,11,1,male,Socio-pedagogical
538,1,1,17,11,4,male,Sports
539,1,1,17,11,2,female,Natural science
540,1,1,17,11,3,male,Technical
541,1,1,17,11,3,male,Technical
542,1,1,17,11,3,male,Technical
543,1,1,17,11,3,male,Technical
544,1,1,17,11,11,male,Artistic
545,1,1,17,11,6,male,Natural science
546,1,1,16,11,2,female,Socio-pedagogical
547,1,1,17,11,7,female,Socio-pedagogical
548,1,1,17,11,8,female,Natural science
549,1,1,17,11,8,female,Natural science
550,1,1,17,11,6,female,Tourism
551,1,1,17,11,6,female,Tourism
552,1,1,17,11,6,male,Artistic
553,1,1,17,11,3,female,Sports
554,1,1,17,11,3,female,Artistic
555,1,1,17,11,4,male,Sports
556,1,1,17,11,3,male,Sports
557,1,1,17,11,10,female,Socio-pedagogical
558,1,1,17,11,10,female,Socio-pedagogical
559,1,1,17,11,3,male,Sports
560,1,1,17,11,6,male,Artistic
561,1,1,17,11,3,female,Tourism
562,1,1,15,10,1,male,Artistic
563,1,1,16,11,7,female,Socio-pedagogical
564,2,1,17,11,3,male,Sports
565,1,1,17,11,4,female,Natural science
566,1,1,17,11,4,female,Natural science
567,1,0,17,11,4,female,Technical
568,1,1,17,11,6,male,Natural science
569,1,1,17,11,6,male,Natural science
570,1,1,17,10,1,male,Natural science
571,1,1,17,11,12,male,Socio-pedagogical
572,1,1,17,11,12,male,Tourism
573,1,1,17,11,3,male,Artistic
574,1,1,17,11,4,female,Socio-pedagogical
575,1,1,17,11,4,female,Socio-pedagogical
576,1,1,17,11,7,female,Socio-pedagogical
577,1,1,17,11,6,male,Sports
578,1,1,17,11,5,male,Sports
579,1,1,17,11,7,male,Natural science
580,1,1,17,11,7,male,Natural science
581,1,1,17,11,2,female,Socio-pedagogical
582,1,1,17,11,2,female,Socio-pedagogical
583,1,1,17,11,11,male,Artistic
584,1,1,17,11,11,male,Artistic
585,1,1,17,11,3,male,Artistic
586,1,1,17,11,4,male,Socio-pedagogical
587,1,1,17,11,4,male,Socio-pedagogical
588,1,1,17,11,11,male,Technical
589,1,1,17,11,3,male,Socio-pedagogical
590,1,1,17,11,3,male,Socio-pedagogical
591,1,1,17,11,6,female,Artistic
592,1,1,17,11,6,female,Artistic
593,1,1,17,11,10,female,Natural science
594,1,1,17,11,14,female,Technical
595,1,1,17,11,2,male,Natural science
596,1,0,17,11,2,male,Natural science
597,1,1,17,10,16,female,Tourism
598,1,1,17,11,3,male,Technical
599,1,1,17,11,3,male,Technical
600,1,1,17,11,5,male,Natural science
601,1,1,17,11,2,male,Sports
602,1,1,17,10,2,male,Natural science
603,1,1,17,10,2,male,Socio-pedagogical
604,1,1,17,10,2,male,Socio-pedagogical
605,1,1,17,11,1,female,Socio-pedagogical
606,1,1,17,11,3,female,Socio-pedagogical
607,1,1,17,11,3,female,Socio-pedagogical
608,1,1,17,11,6,male,Technical
609,1,1,17,8,13,female,Technical
610,1,1,17,11,1,female,Artistic
611,1,1,17,11,2,female,Artistic
612,1,1,17,11,8,female,Natural science
613,1,1,17,11,8,female,Natural science
614,1,1,17,11,3,female,Natural science
615,1,1,17,11,1,female,Socio-pedagogical
616,1,1,17,11,4,female,Socio-pedagogical
617,1,1,17,11,12,female,Artistic
618,1,1,17,11,12,female,Artistic
619,1,1,16,11,6,female,Socio-pedagogical
620,1,1,17,11,14,male,Socio-pedagogical
621,1,1,17,11,15,male,Natural science
622,1,1,17,11,4,female,Artistic
623,1,1,17,11,4,female,Artistic
624,1,1,17,11,2,female,Artistic
625,1,1,17,11,2,female,Artistic
626,1,1,17,11,13,female,Natural science
627,1,0,17,10,13,female,Natural science
628,1,1,17,8,6,female,Technical
629,1,1,17,11,11,male,Artistic
630,1,1,17,10,11,male,Artistic
631,1,1,17,11,11,male,Artistic
632,1,1,17,11,10,female,Artistic
633,1,1,17,11,10,female,Artistic
634,1,1,17,11,10,female,Socio-pedagogical
635,1,1,17,11,10,female,Natural science
636,1,1,17,11,2,male,Technical
637,1,1,15,11,6,male,Technical
638,1,1,16,11,6,female,Natural science
639,1,1,17,11,1,female,Artistic
640,1,1,17,11,6,female,Socio-pedagogical
641,1,1,17,11,9,female,Natural science
642,1,1,17,11,10,male,Artistic
643,1,1,17,11,10,male,Artistic
644,1,1,16,11,10,male,Socio-pedagogical
645,1,1,16,11,10,male,Socio-pedagogical
646,1,1,17,11,6,female,Artistic
647,1,1,17,11,6,female,Artistic
648,1,1,16,11,6,male,Natural science
649,1,1,17,10,2,male,Socio-pedagogical
650,1,1,17,11,8,female,Tourism
651,1,1,16,11,14,female,Natural science
652,1,1,17,11,8,female,Socio-pedagogical
653,1,1,16,11,11,male,Artistic
654,1,1,17,11,6,male,Sports
655,1,1,16,11,11,male,Artistic
656,1,1,16,10,14,female,Socio-pedagogical
657,1,1,17,11,16,female,Socio-pedagogical
658,1,1,16,10,14,female,Socio-pedagogical
659,1,1,16,11,14,female,Socio-pedagogical
660,1,1,16,11,14,female,Tourism
661,1,1,16,11,8,male,Socio-pedagogical
662,1,1,17,11,7,female,Artistic
663,1,1,17,11,6,female,Socio-pedagogical
664,1,1,17,11,6,male,Sports
665,1,1,16,10,14,female,Sports
666,1,1,16,10,14,female,Sports
667,1,1,16,11,11,female,Artistic
668,1,1,17,11,2,female,Natural science
669,1,1,17,11,2,female,Natural science
670,1,1,16,11,2,female,Natural science
671,1,1,16,11,8,female,Sports
672,1,1,16,11,2,female,Natural science
673,1,1,16,11,2,female,Natural science
674,1,1,16,11,3,male,Socio-pedagogical
675,1,1,17,11,6,male,Sports
676,1,1,17,11,5,female,Technical
677,1,1,16,11,6,male,Sports
678,1,1,17,11,6,male,Sports
679,1,1,16,11,10,female,Natural science
680,1,1,16,11,10,female,Natural science
681,1,1,16,11,7,female,Socio-pedagogical
682,1,1,16,11,3,male,Artistic
683,1,1,17,11,3,male,Artistic
684,1,1,16,11,3,male,Artistic
685,1,1,16,11,3,male,Artistic
686,1,1,17,11,3,female,Artistic
687,1,1,17,11,3,female,Artistic
